id,title,start,end,tags,className,allDay
4166,"Computer Science Seminar - Dr. Murtaza Taj, Lahore University of Management Sciences, Pakistan",2017-08-24 13:00:00,2017-08-24 14:00:00,"0,2,0,3,0,49,0,58,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
4165,Green Drinks Oshawa @ UOIT,2017-09-19 17:30:00,2017-09-19 20:00:00,"0,2,0,3,0,49,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0",,False
3952,Alumni Markham Reception,2017-08-24 18:30:00,2017-08-24 21:00:00,"0,2,0,0,49,0,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
3964,Grad Pro Skills Workshop: Student-Supervisor Relations,2017-08-01 13:00:00,2017-08-01 15:00:00,"0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,False
3975,Civic Holiday - statutory holiday (no lectures),2017-08-07 00:15:00,2017-08-07 23:45:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0",,False
3981,2017 Student Research Showcase,2017-08-24 09:30:00,2017-08-24 15:00:00,"0,0,3,0,0,58,0,4,0,5,0,6,0,7,0,0,9,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0",,False
3983,Fundamentals of Leadership,2017-09-28 09:00:00,2017-09-28 16:00:00,"0,2,0,0,49,0,58,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0",,False
3984,Strategic Management,2017-10-12 09:00:00,2017-10-12 16:00:00,"0,2,0,0,49,0,58,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0",,False
3985,Management Excellence,2017-10-26 09:00:00,2017-10-26 16:00:00,"0,2,0,0,49,0,58,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0",,False
3986,Performance Management,2017-11-09 09:00:00,2017-11-09 16:00:00,"0,2,0,0,49,0,58,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0",,False
